Row_Id,Date of Update,Tax Year,County,Number of Returns,Total Number of Exemptions (thousands of dollars),Total Adjusted Gross Income (thousands of dollars),Total Oregon Adjustments: Additions (thousands of dollars),Total Oregon Adjustments: Federal Tax Subtraction (thousands of dollars),Total Oregon Adjustments: Other Subtractions (thousands of dollars),Total Deductions (thousands of dollars),Total Taxable Income (thousands of dollars),Total Gross Tax (thousands of dollars),Total Credits (thousands of dollars),Total Net Tax (thousands of dollars),Average Number of Exemptions,Average Adjusted Gross Income (dollars),Average Oregon Adjustments: Additions (dollars),Average Oregon Adjustments: Federal Tax Subtraction (dollars),Average Oregon Adjustments: Other Subtractions (dollars),Average Deductions (dollars),Average Taxable Income (dollars),Average Gross Tax (dollars),Average Credits (dollars),Average Net Tax (dollars),Tax as Percent of AGI (%),Tax as Percent of Taxable Income (%),Return Type: Single (Number),Return Type: Single (%),Return Type: Joint (Number),Return Type: Joint  (%),Return Type: Separate (Number),Return Type: Separate (%),Return Type: Head Household (Number),Return Type: Head Household (%),Return Type: Itemized (Number),Return Type: Itemized (%),"Return Type: 
Full-Year 
(Number)","Return Type: 
Full-Year 
(%)",Return Type: Part-Year (Number),Return Type: Part-Year (%),Return Type: Nonresident (Number),Return Type: Nonresident (%),Full Year Returns: Number of Returns,Full Year Returns: Total Adjusted Gross Income (thousands of dollars),"Full Year Returns: Total Wages, Salaries, Tips (thousands of dollars)",Full Year Returns: Total Taxable Dividends and Interest (thousands of dollars),Full Year Returns: Total Business Income (thousands of dollars),Full Year Returns: Total Capital Gains (thousands of dollars),Full Year Returns: Total Taxable Pensions (thousands of dollars),"Full Year Returns: Total Schedule E Income (thousands of dollars, this includes: rental real estate, royalties, partnerships, S corporations, and trusts)",Full Year Returns: Total Farm Income (thousands of dollars),"Full Year Returns: Total All Other Income (thousands of dollars, this includes: taxable state income tax refunds, alimony received, unemployment compensation, and other income)",Full Year Returns: Total Adjustments (thousands of dollars),Exception Notes
1,"Jul 01, 2006",2004,Baker,6422,13033,203292,754,8407,15473,41035,152201,12248,2176,10105,2,31656,117,1309,2409,6390,23700,1907,339,1574,0.05,0.066,2525,0.393,3312,0.516,83,0.013,498,0.078,2926,0.456,6250,0.973,149,0.023,23,0.004,6250,201458,133398,11320,4973,17568,38711,7760,-5995,-1881,4396,
2,"Jul 01, 2006",2004,Benton,30315,55918,1455653,4671,54620,75935,235285,1116841,93578,9705,84036,1.8,48018,154,1802,2505,7761,36841,3087,320,2772,0.058,0.075,15088,0.498,12717,0.419,371,0.012,2119,0.07,14311,0.472,29123,0.961,762,0.025,430,0.014,29123,1437820,965346,78108,48777,105807,199504,53271,-5159,17025,24858,
3,"Jul 01, 2006",2004,California,23369,45216,749888,7790,15309,39651,121634,684560,54954,26854,28151,1.9,32089,333,655,1697,5205,29294,2352,1149,1205,0.038,0.041,10747,0.46,10393,0.445,802,0.034,1418,0.061,12196,0.522,4083,0.175,4780,0.205,14506,0.621,4083,225149,96553,13387,7188,49114,16678,43368,-348,1609,2401,
4,"Jul 01, 2006",2004,Clackamas,143293,295424,8461478,22594,286526,325348,1509976,6539961,553332,50159,504150,2.1,59050,158,2000,2271,10538,45641,3862,350,3518,0.06,0.077,60166,0.42,67806,0.473,1860,0.013,13367,0.093,82506,0.576,140130,0.978,2632,0.018,531,0.004,140130,8379066,5827189,318337,321408,584175,840571,543098,-29642,117517,143587,
5,"Jul 01, 2006",2004,Clark Co WA,54419,132860,2066272,2952,82112,44458,329254,1655683,135300,14032,121475,2.4,37970,54,1509,817,6050,30425,2486,258,2232,0.059,0.073,17428,0.32,30662,0.563,666,0.012,5636,0.104,33251,0.611,2212,0.041,2984,0.055,49223,0.905,2212,98767,68966,5348,2594,5228,6730,8946,-2,2316,1360,
6,"Jul 01, 2006",2004,Clatsop,14474,27917,581358,1250,23023,35457,107373,429731,35344,4523,30904,1.9,40166,86,1591,2450,7418,29690,2442,313,2135,0.053,0.072,6515,0.45,6256,0.432,220,0.015,1473,0.102,6933,0.479,13946,0.964,376,0.026,152,0.011,13946,573662,346947,24505,33620,39079,89855,47174,-1434,7269,13355,
7,"Jul 01, 2006",2004,Columbia,19272,41584,878176,889,37095,36133,156255,668087,55206,6508,48783,2.2,45567,46,1925,1875,8108,34666,2865,338,2531,0.056,0.073,7179,0.373,9939,0.516,268,0.014,1878,0.097,10845,0.563,18866,0.979,323,0.017,83,0.004,18866,869267,672700,20435,17198,32341,104732,26514,-6163,12432,10922,
8,"Jul 01, 2006",2004,Coos,24851,49137,895589,2701,36442,57693,159935,669076,54454,7585,46997,2,36038,109,1466,2322,6436,26924,2191,305,1891,0.052,0.07,10225,0.411,11622,0.468,355,0.014,2628,0.106,11174,0.45,24050,0.968,640,0.026,161,0.006,24050,884836,555459,38789,54127,54474,150693,43880,-5217,12136,19505,
9,"Jul 01, 2006",2004,Crook,7938,16773,345828,2975,12404,19442,62125,269132,22238,2765,19519,2.1,43566,375,1563,2449,7826,33904,2802,348,2459,0.056,0.073,2784,0.351,4264,0.537,124,0.016,760,0.096,4178,0.526,7761,0.978,154,0.019,23,0.003,7761,343266,202784,17333,13356,29756,46331,50254,-8309,-3100,5139,
10,"Jul 01, 2006",2004,Curry,9668,18490,355797,1237,13578,28599,71007,256294,20936,2961,18020,1.9,36802,128,1404,2958,7345,26510,2166,306,1864,0.051,0.07,3970,0.411,4764,0.493,115,0.012,813,0.084,4603,0.476,9232,0.955,355,0.037,81,0.008,9232,349493,167184,24709,19829,33285,78740,29579,-1168,4355,7019,
11,"Jul 01, 2006",2004,Deschutes,62337,124183,2901408,12276,103259,147240,583978,2173375,180974,20796,160716,2,46544,197,1657,2362,9368,34865,2903,334,2578,0.055,0.074,25972,0.417,29895,0.48,905,0.015,5532,0.089,34637,0.556,59601,0.956,2392,0.038,344,0.006,59601,2843022,1689614,144875,168940,270595,386243,260561,-22880,15518,70444,
